Asset,Last,Strike,Quantidade,Bid,Ask,Vencimento,Cont. Abertos,Volt. Implícita,Spot
PETRJ224W4,0,22.4,0,0,0,24/10/2025,0,0,29.68
PETRJ229W4,6.68,22.9,100,0,0,24/10/2025,100,0,29.68
PETRJ234W4,0,23.4,0,0,0,24/10/2025,0,0,29.68
PETRJ239W4,0,23.9,0,0,0,24/10/2025,0,0,29.68
PETRJ244W4,5.3,24.4,300,0,0,24/10/2025,2300,0,29.68
PETRJ249W4,5.04,24.9,3000,0,0,24/10/2025,3000,0.928535461,29.68
PETRJ254W4,4.53,25.4,3600,0.01,0,24/10/2025,28500,0.830001831,29.68
PETRJ259W4,4,25.9,25800,0.01,0,24/10/2025,1400,0.699310303,29.68
PETRJ264W4,3.2,26.4,4300,0.01,0,24/10/2025,4500,0,29.68
PETRJ269W4,2.71,26.9,3300,0.01,0,24/10/2025,5500,0,29.68
PETRJ274W4,2.45,27.4,7700,0.01,0,24/10/2025,53700,0.384216309,29.68
PETRJ279W4,1.95,27.9,3900,0.01,0,24/10/2025,17000,0.315208435,29.68
PETRJ284W4,1.43,28.4,15300,0.01,1.69,24/10/2025,26600,0.205917358,29.68
PETRJ289W4,0.97,28.9,6800,0.01,1.3,24/10/2025,98600,0.199127197,29.68
PETRJ300W4,0.57,29.4,140000,0.48,0.63,24/10/2025,141300,0.192451477,29.68
PETRJ302W4,0.43,29.65,214600,0.4,0.45,24/10/2025,169100,0.203905106,29.68
PETRJ305W4,0.3,29.9,894000,0.26,0.29,24/10/2025,680800,0.202827454,29.68
PETRJ307W4,0.19,30.15,1036200,0.05,0.22,24/10/2025,584500,0.196075439,29.68
PETRJ310W4,0.12,30.4,1289700,0.11,0.13,24/10/2025,367600,0.197219849,29.68
PETRJ312W4,0.07,30.65,331900,0.05,0.1,24/10/2025,357100,0.196247101,29.68
PETRJ315W4,0.06,30.9,182700,0.03,0.06,24/10/2025,333800,0.222015381,29.68
PETRJ317W4,0.04,31.15,136600,0.02,0.05,24/10/2025,350000,0.229492188,29.68
PETRJ320W4,0.02,31.4,171100,0.01,0.02,24/10/2025,322100,0.223045349,29.68
PETRJ322W4,0.01,31.65,106200,0.01,0.2,24/10/2025,157700,0.220565796,29.68
PETRJ325W4,0.01,31.9,22200,0.01,0.1,24/10/2025,238200,0.244445801,29.68
PETRJ327W4,0.01,32.15,58400,0,0.02,24/10/2025,169800,0.267868042,29.68
PETRJ330W4,0.02,32.4,54500,0,0.02,24/10/2025,327500,0.326347351,29.68
PETRJ332W4,0.02,32.65,200,0,0.02,24/10/2025,86200,0.350723267,29.68
PETRJ335W4,0.01,32.9,2000,0,0.01,24/10/2025,175700,0.335235596,29.68
PETRJ337W4,0.01,33.15,200,0,0.01,24/10/2025,214300,0.356903076,29.68
PETRJ340W4,0.01,33.4,100,0,0.01,24/10/2025,109500,0.378265381,29.68
PETRJ339W4,0.01,33.9,4000,0,0.01,24/10/2025,49700,0.419921875,29.68
PETRJ344W4,0.01,34.4,1000,0,0.01,24/10/2025,64900,0.46043396,29.68
PETRJ349W4,0.01,34.9,1500,0,0.01,24/10/2025,102800,0.49987793,29.68
PETRJ354W4,0.01,35.4,100,0,0.01,24/10/2025,24100,0.53817749,29.68
PETRJ359W4,0.01,35.9,100,0,0.01,24/10/2025,100,0.575714111,29.68
PETRJ364W4,0.02,36.4,3100,0,0.01,24/10/2025,3100,0.673522949,29.68
PETRJ369W4,0.02,36.9,200,0,0.01,24/10/2025,0,0.711975098,29.68
PETRJ374W4,0,37.4,0,0,0.01,24/10/2025,0,0,29.68
PETRJ379W4,0,37.9,0,0,0.01,24/10/2025,0,0,29.68
PETRJ384W4,0,38.4,0,0,0.01,24/10/2025,0,0,29.68
PETRV224W4,0.01,22.4,1200,0,0.01,24/10/2025,1200,0.865325928,29.68
PETRV229W4,0.01,22.9,300,0,0,24/10/2025,700,0.805511475,29.68
PETRV234W4,0.01,23.4,700,0,0.01,24/10/2025,1100,0.746765137,29.68
PETRV239W4,0.02,23.9,800,0,0.01,24/10/2025,2700,0.758972168,29.68
PETRV244W4,0.01,24.4,400,0,0.01,24/10/2025,62500,0.631561279,29.68
PETRV249W4,0.01,24.9,15000,0,0.01,24/10/2025,135100,0.57510376,29.68
PETRV254W4,0.01,25.4,5000,0,0.01,24/10/2025,141800,0.519104004,29.68
PETRV259W4,0.01,25.9,500,0,0.02,24/10/2025,229100,0.4637146,29.68
PETRV264W4,0.02,26.4,64300,0,0,24/10/2025,136300,0.455627441,29.68
PETRV269W4,0.02,26.9,196900,0.01,0.03,24/10/2025,50800,0.39604187,29.68
PETRV274W4,0.03,27.4,2100,0.01,0.04,24/10/2025,172600,0.363540649,29.68
PETRV279W4,0.04,27.9,51800,0.03,0.05,24/10/2025,450100,0.319633484,29.68
PETRV284W4,0.06,28.4,40600,0.03,0.08,24/10/2025,460200,0.280437469,29.68
PETRV289W4,0.1,28.9,263700,0.08,0.11,24/10/2025,695600,0.244731903,29.68
PETRV300W4,0.2,29.4,447100,0.05,0.25,24/10/2025,676600,0.224142075,29.68
PETRV302W4,0.28,29.65,331300,0.04,0.36,24/10/2025,375300,0.214624405,29.68
PETRV305W4,0.4,29.9,337800,0.28,0,24/10/2025,689400,0.213794708,29.68
PETRV307W4,0.54,30.15,230600,0.02,0,24/10/2025,599700,0.208272934,29.68
PETRV310W4,0.74,30.4,100000,0.24,0.95,24/10/2025,376400,0.226316452,29.68
PETRV312W4,0.92,30.65,57800,0.83,1.07,24/10/2025,2796100,0,29.68
PETRV315W4,1.13,30.9,82300,0.9,1.35,24/10/2025,1332900,0,29.68
PETRV317W4,1.36,31.15,24100,0.4,0,24/10/2025,1619200,0,29.68
PETRV320W4,1.59,31.4,37100,1,0,24/10/2025,120800,0,29.68
PETRV322W4,1.83,31.65,16600,0.1,0,24/10/2025,286500,0,29.68
PETRV325W4,2.18,31.9,26600,0.01,0,24/10/2025,191400,0.40769577,29.68
PETRV327W4,2.31,32.15,29000,2.25,0,24/10/2025,291500,0,29.68
PETRV330W4,2.57,32.4,70200,0.01,0,24/10/2025,2902600,0,29.68
PETRV332W4,2.65,32.65,18500,0.01,0,24/10/2025,81300,0,29.68
PETRV335W4,3.17,32.9,87000,0.3,3.25,24/10/2025,1581800,0.523014069,29.68
PETRV337W4,3.16,33.15,22200,0.01,0,24/10/2025,41100,0,29.68
PETRV340W4,3.56,33.4,10700,0.01,0,24/10/2025,128300,0,29.68
PETRV339W4,4.03,33.9,73000,0.01,0,24/10/2025,121100,0,29.68
PETRV344W4,4.56,34.4,15000,0.01,0,24/10/2025,53000,0,29.68
PETRV349W4,5.12,34.9,3300,0.01,0,24/10/2025,67100,0,29.68
PETRV354W4,5.68,35.4,2200,0,0,24/10/2025,31800,0.822219849,29.68
PETRV359W4,6.12,35.9,30100,0,0,24/10/2025,78900,0,29.68
PETRV364W4,6.66,36.4,5800,0,0,24/10/2025,15700,0,29.68
PETRV369W4,7.25,36.9,3000,0,0,24/10/2025,17000,1.087341309,29.68
PETRV374W4,7.75,37.4,5000,0,0,24/10/2025,5000,1.139183044,29.68
PETRV379W4,7.93,37.9,1000,0,0,24/10/2025,12400,0,29.68
PETRV384W4,8.63,38.4,3000,0,0,24/10/2025,2600,0,29.68
PETRJ235W5,6.81,23.5,6000,0,0,31/10/2025,6000,1.140365601,29.68
PETRJ240W5,0,24,0,0,8.03,31/10/2025,0,0,29.68
PETRJ245W5,0,24.5,0,0,0,31/10/2025,0,0,29.68
PETRJ250W5,4.87,25,200,0,0,31/10/2025,500,0.0390625,29.68
PETRJ255W5,4.39,25.5,200,0,0,31/10/2025,500,0.363464355,29.68
PETRJ260W5,3.89,26,200,0,0,31/10/2025,400,0.308914185,29.68
PETRJ265W5,3.41,26.5,200,0,0,31/10/2025,400,0.330047607,29.68
PETRJ270W5,2.92,27,5900,0,0,31/10/2025,900,0.301437378,29.68
PETRJ275W5,2.45,27.5,12900,0,0,31/10/2025,6200,0.29510498,29.68
PETRJ280W5,1.98,28,6600,1.5,0,31/10/2025,27000,0.27223587,29.68
PETRJ285W5,1.51,28.5,6400,0,0,31/10/2025,35000,0.238580704,29.68
PETRJ290W5,1.07,29,57800,0,0,31/10/2025,16100,0.212469101,29.68
PETRJ295W5,0.71,29.5,10000,0.03,0,31/10/2025,77700,0.205125809,29.68
PETRJ300W5,0.41,30,130600,0.03,0.65,31/10/2025,274800,0.192308426,29.68
PETRJ305W5,0.23,30.5,102100,0.22,0.25,31/10/2025,542700,0.195713043,29.68
PETRJ310W5,0.12,31,137500,0.1,0.13,31/10/2025,437300,0.19952774,29.68
PETRJ315W5,0.07,31.5,122800,0.05,0.1,31/10/2025,280100,0.213718414,29.68
PETRJ320W5,0.03,32,66100,0.02,0.09,7.84,202900,0.211982727,29.68
PETRJ325W5,0.01,32.5,4500,0.01,0.18,31/10/2025,208100,0.205841064,29.68
PETRJ330W5,0.02,33,36400,0.01,0,31/10/2025,158000,0.265083313,29.68
PETRJ335W5,0.01,33.5,10000,0,0,31/10/2025,168600,0.267562866,29.68
PETRJ340W5,0.01,34,2000,0,0.01,31/10/2025,35300,0.296936035,29.68
PETRJ345W5,0.02,34.5,5100,0,0.01,31/10/2025,5100,0.360488892,29.68
PETRJ350W5,0.02,35,1200,0,0.01,31/10/2025,8900,0.390434265,29.68
PETRJ355W5,0.03,35.5,15400,0,0.01,31/10/2025,15100,0.447502136,29.68
PETRJ360W5,0.03,36,200,0,0.01,31/10/2025,300,0.477256775,29.68
PETRJ365W5,0,36.5,0,0,0.01,31/10/2025,0,0,29.68
PETRJ370W5,0,37,0,0,0.01,31/10/2025,0,0,29.68
PETRJ375W5,0,37.5,0,0,0,31/10/2025,0,0,29.68
PETRJ380W5,0,38,0,0,0,31/10/2025,0,0,29.68
PETRJ385W5,0,38.5,0,0,0,31/10/2025,0,0,29.68
PETRJ390W5,0,39,0,0,0,31/10/2025,0,0,29.68
PETRJ395W5,0,39.5,0,0,0,31/10/2025,0,0,29.68
PETRV235W5,0.01,23.5,4400,0,0.01,31/10/2025,8300,0.525512695,29.68
PETRV240W5,0.01,24,300,0,0,31/10/2025,61200,0.484619141,29.68
PETRV245W5,0.05,24.5,800,0,0.02,31/10/2025,600,0.573005676,29.68
PETRV250W5,0.02,25,43300,0,0.05,31/10/2025,141000,0.447463989,29.68
PETRV255W5,0.02,25.5,84500,0.01,0,31/10/2025,276700,0.404815674,29.68
PETRV260W5,0.03,26,32900,0,0,31/10/2025,162800,0.388641357,29.68
PETRV265W5,0.04,26.5,9000,0,0,31/10/2025,159400,0.363807678,29.68
PETRV270W5,0.05,27,24800,0,0.08,31/10/2025,190800,0.333080292,29.68
PETRV275W5,0.09,27.5,46900,0.01,0,31/10/2025,215300,0.330276489,29.68
PETRV280W5,0.1,28,41600,0.04,0,31/10/2025,326500,0.285558701,29.68
PETRV285W5,0.13,28.5,6600,0.05,0.14,31/10/2025,210700,0.251293182,29.68
PETRV290W5,0.23,29,46400,0.06,0.47,31/10/2025,266900,0.245409012,29.68
PETRV295W5,0.32,29.5,69000,0.02,0.5,31/10/2025,303700,0.211391449,29.68
PETRV300W5,0.53,30,205900,0.5,0.62,31/10/2025,351100,0.203700066,29.68
PETRV305W5,0.85,30.5,93000,0.65,0.88,31/10/2025,253200,0.209779739,29.68
PETRV310W5,1.23,31,38100,1.18,1.39,31/10/2025,221400,0,29.68
PETRV315W5,1.62,31.5,4600,0.4,0,31/10/2025,135700,0,29.68
PETRV320W5,2.11,32,7300,0,2.5,31/10/2025,27100,0,29.68
PETRV325W5,2.63,32.5,17100,0,0,31/10/2025,96900,0,29.68
PETRV330W5,2.89,33,3600,0.5,0,31/10/2025,35700,0,29.68
PETRV335W5,3.55,33.5,10400,0,0,31/10/2025,67200,0,29.68
PETRV340W5,4.07,34,13500,0,0,31/10/2025,36100,0,29.68
PETRV345W5,4.67,34.5,32300,0,0,31/10/2025,7000,0,29.68
PETRV350W5,5.31,35,61300,0,0,31/10/2025,88500,0.666074753,29.68
PETRV355W5,5.1,35.5,9000,0,0,31/10/2025,9000,0,29.68
PETRV360W5,6.05,36,7600,0,0,31/10/2025,100000,0,29.68
PETRV365W5,6.62,36.5,4200,0,0,31/10/2025,11100,0,29.68
PETRV370W5,7.09,37,2500,0,0,31/10/2025,2500,0,29.68
PETRV375W5,7.63,37.5,18000,7.47,0,31/10/2025,18000,0,29.68
PETRV380W5,8.07,38,1800,0,0,31/10/2025,0,0,29.68
PETRV385W5,8.64,38.5,2200,0,0,31/10/2025,3100,0,29.68
PETRV390W5,0,39,0,0,0,31/10/2025,0,0,29.68
PETRV395W5,9.6,39.5,20400,0,0,31/10/2025,0,0,29.68
PETRK244W1,0,24.4,0,0,0,7/11/2025,0,0,29.68
